Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
G,Jonathan Randolph,6100,Golf@Golf 11:30AM ET,0,Golf
G,J.J. Spaun,6100,Golf@Golf 11:30AM ET,25.5,Golf
G,Gonzalo Fernandez-Castano,6000,Golf@Golf 11:30AM ET,68.5,Golf
G,Richy Werenski,6000,Golf@Golf 11:30AM ET,80,Golf
G,Zack Sucher,6000,Golf@Golf 11:30AM ET,0,Golf
G,Nicholas Lindheim,6000,Golf@Golf 11:30AM ET,14.5,Golf
G,Ryan Armour,6000,Golf@Golf 11:30AM ET,0,Golf
G,Andres Gonzales,6000,Golf@Golf 11:30AM ET,83.5,Golf
G,Hunter Mahan,6000,Golf@Golf 11:30AM ET,0,Golf
G,Brian Campbell,6000,Golf@Golf 11:30AM ET,0,Golf
G,Julian Etulain,6000,Golf@Golf 11:30AM ET,0,Golf
G,Bud Cauley,6000,Golf@Golf 11:30AM ET,28.5,Golf
G,Jon Curran,6000,Golf@Golf 11:30AM ET,61,Golf
G,Angel Cabrera,6000,Golf@Golf 11:30AM ET,0,Golf
G,Tyrone Van Aswegen,6000,Golf@Golf 11:30AM ET,26.5,Golf
G,Scott Stallings,6000,Golf@Golf 11:30AM ET,0,Golf
G,Mark Anderson,6000,Golf@Golf 11:30AM ET,0,Golf
G,Max Homa,6000,Golf@Golf 11:30AM ET,0,Golf
G,JT Poston,6000,Golf@Golf 11:30AM ET,68,Golf
G,Sebastian Munoz,6000,Golf@Golf 11:30AM ET,0,Golf
G,Chris Evans,6000,Golf@Golf 11:30AM ET,0,Golf
G,Kenny Pigman,6000,Golf@Golf 11:30AM ET,0,Golf
G,Steven Bowditch,5900,Golf@Golf 11:30AM ET,0,Golf
G,Mark Brooks,5900,Golf@Golf 11:30AM ET,0,Golf
G,Charlie Beljan,5900,Golf@Golf 11:30AM ET,0,Golf
G,Brandon Hagy,5900,Golf@Golf 11:30AM ET,40.5,Golf
G,Tag Ridings,5900,Golf@Golf 11:30AM ET,45,Golf
G,D.J. Trahan,5900,Golf@Golf 11:30AM ET,0,Golf
G,Chad Collins,5900,Golf@Golf 11:30AM ET,40,Golf
G,Bob Estes,5900,Golf@Golf 11:30AM ET,24.5,Golf
G,Joel Dahmen,5900,Golf@Golf 11:30AM ET,0,Golf
G,Steven Alker,5900,Golf@Golf 11:30AM ET,22.5,Golf
G,J.J. Henry,5900,Golf@Golf 11:30AM ET,37.5,Golf
G,Matt Every,5900,Golf@Golf 11:30AM ET,26,Golf
G,D.A. Points,5900,Golf@Golf 11:30AM ET,0,Golf
G,John Cook,5900,Golf@Golf 11:30AM ET,0,Golf
G,Mark Hubbard,5900,Golf@Golf 11:30AM ET,30,Golf
G,Mark Wilson,5900,Golf@Golf 11:30AM ET,0,Golf
G,Kevin Tway,5900,Golf@Golf 11:30AM ET,32,Golf
G,Dominic Bozzelli,5900,Golf@Golf 11:30AM ET,0,Golf
G,Brett Drewitt,5900,Golf@Golf 11:30AM ET,58,Golf
G,Rick Lamb,5900,Golf@Golf 11:30AM ET,0,Golf
